fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-18;SA;10-19;724;784;1508
2020-10-18;CyL;10-19;4702;4506;9208
2020-10-18;BU;20-29;1133;1273;2406
2020-10-18;PA;20-29;425;441;866
2020-10-18;SE;20-29;479;602;1081
2020-10-18;CyL;20-29;6187;7175;13362
2020-10-18;LE;30-39;1052;1580;2632
2020-10-18;PA;30-39;472;576;1048
2020-10-18;SE;30-39;609;789;1398
2020-10-18;VA;30-39;1568;2017;3585
2020-10-18;BU;40-49;1737;2028;3765
2020-10-18;PA;40-49;638;765;1403
2020-10-18;SO;40-49;441;621;1062
2020-10-18;CyL;40-49;9623;12702;22325
2020-10-18;SE;50-59;969;1439;2408
2020-10-18;BU;60-69;1045;1174;2219
2020-10-18;SE;60-69;815;868;1683
2020-10-18;LE;70-79;957;925;1882
2020-10-18;PA;70-79;373;362;735
2020-10-18;SE;70-79;526;526;1052
2020-10-18;BU;>80;811;1481;2292
2020-10-18;LE;>80;1120;2044;3164
2020-10-18;SE;>80;730;1208;1938
2020-10-18;VA;0-9;1117;960;2077
2020-10-18;SO;10-19;170;153;323
2020-10-18;VA;10-19;1000;1008;2008
2020-10-18;SA;20-29;1079;1275;2354
2020-10-18;BU;30-39;1355;1609;2964
2020-10-18;CyL;30-39;7218;9493;16711
2020-10-18;AV;40-49;638;818;1456
2020-10-18;LE;40-49;1510;2151;3661
2020-10-18;SA;40-49;1377;1831;3208
2020-10-18;SE;40-49;846;1163;2009
2020-10-18;BU;50-59;1486;2016;3502
2020-10-18;SO;50-59;474;717;1191
2020-10-18;VA;50-59;1747;2427;4174
2020-10-18;AV;60-69;542;610;1152
2020-10-18;LE;60-69;1261;1462;2723
2020-10-18;PA;60-69;529;546;1075
2020-10-18;SA;60-69;1185;1320;2505
2020-10-18;SO;60-69;357;418;775
2020-10-18;AV;70-79;395;433;828
2020-10-18;BU;70-79;705;715;1420
2020-10-18;SA;70-79;829;900;1729
